2025-12-09 00:53:37,911 | app.logging_service | INFO | ✓ Database initialized
2025-12-09 00:53:37,916 | app.main | INFO | Contract Analyzer API startup (v0.2.0)
2025-12-09 00:53:37,916 | app.main | INFO | Upload directory: /Users/luisschenk/contract-analyzer-backend/uploads
2025-12-09 00:53:37,916 | app.main | WARNING | ⚠️  DUMMY MODE ENABLED – Nutzt Mock-Responses statt echter API
2025-12-09 00:56:12,524 | app.main | INFO | Contract Analyzer API shutdown
2025-12-09 00:56:20,844 | app.logging_service | INFO | ✓ Database initialized
2025-12-09 00:56:20,849 | app.main | INFO | Contract Analyzer API startup (v0.2.0)
2025-12-09 00:56:20,849 | app.main | INFO | Upload directory: /Users/luisschenk/contract-analyzer-backend/uploads
2025-12-09 00:56:20,849 | app.main | INFO | ✓ OPENAI_API_KEY configured
2025-12-09 00:57:45,097 | app.main | INFO | Contract uploaded: 273b91c7-b81c-4569-b930-008ed3b7c53f, filename: testvertrag.pdf
2025-12-09 00:58:08,992 | app.main | INFO | Text extracted for 82a8db7b-e5be-4a09-a536-b4f2f8fddfd7, 2658 chars
2025-12-09 00:58:08,993 | app.logging_service | ERROR | Failed to log analysis event: table analysis_log has no column named num_risk_flags
2025-12-09 00:58:08,993 | app.main | ERROR | Unexpected error for 82a8db7b-e5be-4a09-a536-b4f2f8fddfd7: '\n  "contract_id"'
2025-12-09 00:59:32,467 | app.main | INFO | Contract uploaded: 7efcc96c-0e18-4316-a408-5b93ff99feb3, filename: testvertrag.pdf
2025-12-09 00:59:32,474 | app.main | INFO | Text extracted for 7efcc96c-0e18-4316-a408-5b93ff99feb3, 2658 chars
2025-12-09 00:59:32,474 | app.logging_service | ERROR | Failed to log analysis event: table analysis_log has no column named num_risk_flags
2025-12-09 00:59:32,474 | app.main | ERROR | Unexpected error for 7efcc96c-0e18-4316-a408-5b93ff99feb3: '\n  "contract_id"'
2025-12-09 01:00:20,669 | app.main | INFO | Contract uploaded: 35c410fe-cb00-4273-9a1b-8cbe5350e62f, filename: testvertrag.pdf
2025-12-09 01:00:20,679 | app.main | INFO | Text extracted for 35c410fe-cb00-4273-9a1b-8cbe5350e62f, 2658 chars
2025-12-09 01:00:20,679 | app.logging_service | ERROR | Failed to log analysis event: table analysis_log has no column named num_risk_flags
2025-12-09 01:00:20,679 | app.main | ERROR | Unexpected error for 35c410fe-cb00-4273-9a1b-8cbe5350e62f: '\n  "contract_id"'
2025-12-09 01:04:13,185 | app.main | INFO | Contract Analyzer API shutdown
